date,humidity_mean,pressure_mean,temperature_mean,wind_direction_mean,wind_speed,weather_desc_cat_mean,humidity_min,pressure_min,temperature_min,wind_direction_min,wind_speed,weather_desc_cat_min,humidity_max,pressure_max,temperature_max,wind_direction_max,wind_speed,weather_desc_cat_max,humidity_median,pressure_median,temperature_median,wind_direction_median,wind_speed,weather_desc_cat_median,humidity_std,pressure_std,temperature_std,wind_direction_std,wind_speed,weather_desc_cat_std
2013-06-20,72.91666666666667,1019.2083333333334,293.10026250000004,164.125,2.0416666666666665,3.8333333333333335,29,1011,287.94,10.0,0.0,2,96,1035,297.81,352.0,6.0,4,79.5,1016.5,291.7358333335,144.0,2.0,4.0,20.284748322144736,7.459917045037454,3.553448777816201,106.59240224983816,1.5174110293140939,0.56465970257328
2013-06-21,65.16666666666667,1025.25,293.429138888875,189.45833333333334,1.7916666666666667,3.7916666666666665,45,1018,287.52,0.0,1.0,1,86,1039,299.2,255.0,3.0,4,69.0,1023.0,293.227,191.0,2.0,4.0,10.378349817169214,5.802922801785198,4.079277990881924,47.43964510339673,0.7790276362049132,0.721060008759246
2013-06-22,67.625,1026.0833333333333,294.84841666666665,187.58333333333334,1.875,3.8333333333333335,49,1023,288.36,29.0,0.0,2,91,1033,300.25,256.0,3.0,4,66.5,1025.0,295.4925,206.0,2.0,4.0,14.264009132138801,2.796218979212846,4.133370796931655,60.19455172996154,1.0759222535351585,0.5646597025732799
2013-06-23,67.875,1024.625,296.1676979166667,202.54166666666666,1.8333333333333333,2.0,52,1020,288.2,166.0,0.0,2,94,1032,302.61,358.0,4.0,2,62.5,1024.0,296.945,196.0,2.0,2.0,14.253336756551159,3.132057248629994,4.9959420864746455,42.708291799202144,1.1671841502435296,0.0
2013-06-24,68.08333333333333,1020.4583333333334,298.22125000000005,199.0,2.5416666666666665,1.8333333333333333,52,1017,292.25,156.0,0.0,1,90,1022,304.2,267.0,6.0,2,65.0,1021.0,298.4,204.0,3.0,2.0,10.034361255062597,1.413572921994834,4.753393581797995,29.294605528040112,1.2503622663458176,0.3806934938134405
2013-06-25,75.04166666666667,1016.7916666666666,300.32208333333335,249.41666666666666,1.7916666666666667,1.75,41,1014,295.71,200.0,0.0,1,96,1018,306.71,345.0,4.0,4,74.5,1017.0,299.57,243.5,2.0,2.0,16.692823677222517,1.382473104280132,3.979680978219933,42.408896386885864,1.2846642825425558,0.8469895538599198
2013-06-26,73.58333333333333,1013.2916666666666,300.17999999999995,237.25,2.0833333333333335,2.25,44,1009,293.82,12.0,0.0,1,94,1016,307.03,356.0,15.0,4,77.0,1014.0,299.845,239.5,1.0,2.0,17.041934638763404,2.0951116327354575,4.772365196128396,68.45071219498013,2.9623238038473407,0.7939992333804207
2013-06-27,71.20833333333333,1009.4166666666666,300.18250000000006,264.75,2.625,2.4583333333333335,54,1008,295.85,235.0,0.0,1,87,1011,304.15,338.0,4.0,4,70.0,1010.0,300.03499999999997,264.0,3.0,2.0,9.695266288545001,0.8805466023104959,2.6231332907173552,24.306467201674675,0.9696480760071399,1.2150922908825974
2013-06-28,87.20833333333333,1007.2916666666666,298.3623958333333,169.54166666666666,1.375,2.0416666666666665,65,1003,294.75,31.0,0.0,1,99,1009,304.95,261.0,5.0,4,94.5,1008.0,297.975,153.0,1.0,1.0,12.392070278896162,1.8761469921709066,3.024572326861531,67.77583201847912,1.2445533509971602,1.4288690166235207
2013-06-29,80.66666666666667,999.1666666666666,298.3983333333333,201.41666666666666,1.4166666666666667,2.7916666666666665,45,996,295.82,38.0,0.0,1,96,1003,303.63,315.0,5.0,4,88.0,999.0,297.24,211.5,1.0,4.0,15.372665370055712,1.4939491483885547,2.6639275787692873,60.438194565347835,1.212853862900895,1.4440030912488488
